Distribution Network Service Provider,energy_asset,Zone Substation Name,Zone Substation ID,Zone Substation Area (km2),Dwellings,Persons,Residential,Commercial,Industrial,Primary Production,Education,Hospital/Medical,Transport,Parkland,Water,Other
Energex,EX_LGL,Loganlea,LGL,8,3524,9709,0.477,0.043,0.219,0,0.041,0.013,0,0.133,0,0.074
Energex,EX_LGV,Logan Village,LGV,78,4009,10908,0.733,0,0.002,0.117,0.001,0,0,0.081,0,0.067
Energex,EX_LHM,Loganholme,LHM,15,4919,13642,0.623,0.039,0.049,0.057,0.02,0,0,0.129,0,0.084
Energex,EX_LLY,Laidley,LLY,592,3316,8097,0.039,0,0,0.823,0,0,0,0.102,0,0.035
Energex,EX_LRE,Lockrose,LRE,132,2321,6291,0.374,0,0,0.586,0.001,0,0,0.014,0.008,0.016
Energex,EX_LTA,Lota,LTA,21,10216,26082,0.829,0.02,0.018,0,0.023,0.004,0,0.106,0,0
Energex,EX_LTN,Lawnton,LTN,33,12434,33204,0.548,0.027,0.018,0,0.02,0,0,0.191,0.088,0.107
Energex,EX_LWD,Lowood,LWD,29,640,1365,0.054,0.001,0,0.753,0,0,0,0.152,0.029,0.011
Energex,EX_MAI,Miami,MAI,10,10586,21413,0.643,0.017,0.006,0,0.024,0,0,0.183,0.126,0
Energex,EX_MBG,Marburg,MBG,153,1176,2940,0.044,0,0,0.905,0,0,0,0.001,0,0.051
Energex,EX_MCN,Mt Cotton,MCN,31,1005,3093,0.087,0.012,0,0.129,0.002,0,0,0.082,0,0.689
Energex,EX_MCW,Mt Crosby West,MCW,119,2881,8175,0.177,0,0,0.359,0,0,0,0.244,0.022,0.197
Energex,EX_MDR,Molendinar,MDR,19,7745,19751,0.516,0.022,0.182,0,0.039,0.002,0,0.236,0.003,0
Energex,EX_MFD,Morayfield,MFD,58,7494,21504,0.611,0,0.007,0.244,0.003,0,0,0.11,0,0.024
Energex,EX_MFN,Morayfield North,MFN,40,7259,18423,0.605,0.015,0.01,0.3,0.01,0,0,0.056,0,0.004
Energex,EX_MGL,Moggill,MGL,54,4864,14303,0.589,0.007,0,0.037,0.04,0,0,0.103,0,0.224
Energex,EX_MGP,Mudgeeraba West Pkg,MGP,257,7103,20118,0.211,0.002,0,0.011,0.002,0,0,0.385,0,0.389
Energex,EX_MLB,Mooloolaba,MLB,56,12648,33980,0.401,0.014,0.002,0.106,0.044,0,0,0.219,0.006,0.208
Energex,EX_MLS,McLachlan St,MLS,3,10203,17632,0.763,0.138,0,0,0.021,0.004,0,0.074,0,0
Energex,EX_MLT,Milton,MLT,3,4918,9745,0.548,0.183,0.032,0,0.068,0.014,0.036,0.119,0,0
Energex,EX_MLY,Maleny,MLY,280,3658,7439,0.053,0.001,0,0.456,0.001,0,0,0.152,0.009,0.327
Energex,EX_MMC,Merrimac,MMC,17,7092,17174,0.489,0.021,0.005,0,0.016,0,0,0.259,0.21,0
Energex,EX_MRE,Murarrie,MRE,4,1685,3857,0.324,0.027,0.281,0,0.01,0,0,0.358,0,0
Energex,EX_MRK,Moorooka,MRK,6,5819,13363,0.662,0.062,0.087,0,0.031,0,0,0.158,0,0
Energex,EX_MST,Makerston St,MST,1,1052,1914,0.302,0.452,0,0,0,0,0.103,0.143,0,0
Energex,EX_MTG,Mt Gravatt,MTG,14,10125,25861,0.631,0.021,0.022,0,0.082,0.003,0,0.241,0,0
Energex,EX_NBR,Nambour,NBR,197,11076,27120,0.188,0.002,0.004,0.311,0.004,0.001,0,0.149,0.01,0.332
Energex,EX_NDH,Nundah,NDH,7,9581,19710,0.702,0.046,0.074,0,0.021,0,0.005,0.152,0,0
Energex,EX_NGE,Nudgee,NGE,27,2504,6601,0.096,0.012,0.07,0,0.021,0,0.534,0.267,0,0
Energex,EX_NGI,Ningi,NGI,92,3297,7287,0.178,0,0.01,0.383,0.001,0,0,0.189,0.001,0.238
Energex,EX_NIP,Nth Ipswich,NIP,41,6183,14347,0.325,0.018,0.004,0.274,0.013,0,0.001,0.062,0,0.303
Energex,EX_NMC,North Maclean,NMC,200,6928,22397,0.582,0,0.004,0.277,0.002,0,0,0.132,0,0.004
Energex,EX_NMK,Newmarket,NMK,7,7180,17820,0.762,0.016,0.025,0,0.027,0,0,0.169,0,0
Energex,EX_NRA,Narangba,NRA,77,6844,19256,0.228,0.004,0.051,0.173,0.011,0,0,0.022,0.012,0.499
Energex,EX_NRG,Nerang,NRG,151,16491,41197,0.204,0.008,0.011,0.051,0.003,0,0,0.352,0.002,0.369
Energex,EX_NSD,Newstead,NSD,4,7446,12653,0.512,0.202,0.059,0,0,0.008,0.088,0.131,0,0
Energex,EX_NSW,North Springwood,NSW,25,11721,31849,0.557,0.037,0.073,0,0.032,0,0.001,0.235,0,0.065
Energex,EX_NVL,Noosaville,NVL,34,11099,17841,0.332,0.06,0.001,0,0.013,0.001,0,0.506,0.067,0.021
Energex,EX_OXL,Oxley,OXL,12,4436,11119,0.464,0.029,0.164,0,0.024,0.016,0.073,0.23,0,0
Energex,EX_PBH,Palm Beach,PBH,13,9258,21205,0.809,0.026,0,0,0.021,0,0,0.111,0.033,0
Energex,EX_PGN,Peregian,PGN,25,3995,9786,0.215,0.003,0,0,0.011,0,0,0.33,0.037,0.405
Energex,EX_PKW,Parkwood,PKW,1,394,1303,0.309,0.008,0,0,0.425,0,0,0.257,0,0
Energex,EX_PPE,Pimpama East,PPE,115,4514,12968,0.157,0.001,0,0.526,0.001,0,0,0.179,0.01,0.126
Energex,EX_PRG,Postmans Ridge,PRG,221,1460,4007,0.374,0,0,0.348,0,0,0,0,0,0.277
Energex,EX_PWC,Palmwoods Central,PWC,168,7146,18583,0.108,0.003,0,0.126,0.004,0,0,0.087,0.007,0.664
Energex,EX_QPT,Queensport,QPT,6,4358,9871,0.507,0.052,0.259,0,0.041,0,0,0.141,0,0
Energex,EX_RBA,Robina,RBA,31,9440,24202,0.533,0.051,0,0.028,0.03,0.004,0.01,0.272,0.008,0.063
Energex,EX_RBK,Redbank,RBK,12,1941,5036,0.313,0.158,0.166,0.156,0.009,0,0.008,0.13,0,0.061
Energex,EX_RBY,Raby Bay,RBY,21,9639,21854,0.666,0.07,0,0,0.03,0.002,0.001,0.182,0,0.049
Energex,EX_RCF,Redcliffe,RCF,5,6719,13169,0.784,0.03,0.011,0,0.047,0.027,0,0.101,0,0
Energex,EX_RCN,Runcorn,RCN,16,9142,26566,0.623,0.015,0.013,0,0.033,0,0.003,0.313,0,0
Energex,EX_RIS,Russell Island,RIS,20,3020,4815,0.658,0,0,0,0.004,0,0,0.338,0,0
Energex,EX_RLA,Rocklea,RLA,7,4108,9203,0.486,0.038,0.337,0,0.028,0,0.018,0.094,0,0
Energex,EX_RLB,Redland Bay,RLB,51,5738,15940,0.203,0,0,0.156,0.001,0,0,0.081,0,0.559
Energex,EX_RPN,Redbank Plains,RPN,42,8807,26366,0.407,0.004,0.162,0,0.013,0,0,0.228,0,0.186
Energex,EX_RST,Roderick St,RST,7,2811,6597,0.569,0.078,0.038,0,0.103,0.009,0.009,0.194,0,0
Energex,EX_RWD,Rosewood,RWD,462,1799,4546,0.022,0,0,0.944,0.001,0,0,0.003,0,0.031
Energex,EX_SBH,Scarborough,SBH,9,7484,16004,0.772,0.007,0.022,0,0.031,0,0,0.167,0,0
Energex,EX_SBK,Sunnybank,SBK,5,3072,9208,0.582,0.065,0,0,0.262,0.025,0,0.066,0,0
Energex,EX_SBY,Salisbury,SBY,6,2801,7106,0.43,0.018,0.148,0,0.057,0.023,0,0.325,0,0
Energex,EX_SFD,Stafford,SFD,13,10233,25128,0.752,0.017,0.015,0,0.03,0.009,0,0.177,0,0
Energex,EX_SGT,Sandgate,SGT,23,13390,32236,0.517,0.008,0,0,0.035,0.001,0,0.417,0,0.022
Energex,EX_SHW,Sherwood,SHW,15,8242,21337,0.669,0.096,0.024,0,0.042,0,0,0.169,0,0
Energex,EX_SIS,Stradbroke Is,SIS,201,1822,2054,0.021,0.001,0.001,0,0.001,0,0,0.971,0.006,0
Energex,EX_SMF,Samford,SMF,334,4182,12292,0.237,0,0,0.04,0,0,0,0.405,0.019,0.298
Energex,EX_SMR,Sumner,SMR,15,8582,23256,0.628,0.015,0.149,0,0.05,0,0,0.152,0.006,0
Energex,EX_SPC,Spring Creek,SPC,249,399,1444,0.068,0,0,0.721,0,0,0,0,0,0.212
Energex,EX_SPD,Surfers Paradise,SPD,6,12975,19824,0.608,0.062,0,0,0.004,0,0,0.148,0.178,0
Energex,EX_SPE,Strathpine,SPE,7,1309,2622,0.098,0.092,0.631,0.03,0.001,0.008,0,0.141,0,0
Energex,EX_SPF,Springfield,SPF,18,3966,11948,0.34,0.069,0,0,0.024,0,0,0.567,0,0
Energex,EX_SPO,Southport,SPO,16,18074,35162,0.562,0.068,0.079,0,0.084,0.003,0,0.204,0,0
Energex,EX_SRD,Scrub Road,SRD,18,7139,18265,0.586,0.017,0,0,0.008,0.003,0,0.376,0,0.01
Energex,EX_STL,St Lucia,STL,3,2827,8352,0.483,0,0,0,0.464,0,0,0.053,0,0
Energex,EX_TBV,Tamborine Village,TBV,127,1235,3485,0.202,0,0,0.64,0,0,0,0.062,0,0.097
Energex,EX_TCB,Tin Can Bay,TCB,526,4158,6216,0.057,0.007,0.001,0.049,0.001,0,0,0.86,0.001,0.022
Energex,EX_TGP,Tingalpa,TGP,15,7387,19335,0.611,0.032,0.059,0,0.029,0,0,0.268,0,0
Energex,EX_TGW,Toogoolawah,TGW,2026,1498,3011,0.002,0,0,0.774,0,0,0,0.204,0.002,0.017
Energex,EX_THL,Tenthill,THL,302,604,1468,0.073,0,0,0.927,0,0,0,0,0,0
Energex,EX_TMH,Tanah Merah,TMH,14,5356,14895,0.655,0.031,0,0.006,0.057,0.002,0,0.218,0,0.031
Energex,EX_TPT,Toorbul Point,TPT,19,3008,6815,0.273,0.011,0.168,0,0,0,0,0.332,0.001,0.215
Energex,EX_TRG,Taringa,TRG,6,5792,12933,0.599,0.046,0,0,0.036,0,0.006,0.312,0,0
Energex,EX_TRP,Tarampa,TRP,139,2146,5753,0.084,0,0,0.863,0.001,0,0,0.002,0,0.05
Energex,EX_TSN,Tennyson,TSN,2,520,1158,0.17,0.284,0.05,0,0.004,0,0,0.492,0,0
Energex,EX_TWG,Toowong,TWG,14,9177,21192,0.437,0.009,0,0,0.019,0.002,0.006,0.527,0,0
Energex,EX_TWT,Tewantin,TWT,195,8655,19627,0.275,0.004,0.004,0.062,0.002,0,0,0.46,0.056,0.138
Energex,EX_UMG,Upper Mt Gravatt,UMG,7,5449,14801,0.674,0.111,0.013,0,0.038,0,0,0.164,0,0
Energex,EX_VPK,Victoria Park,VPK,3,3816,6947,0.346,0.22,0.001,0,0.02,0.075,0.088,0.251,0,0
Energex,EX_VPT,Victoria Point,VPT,25,8535,20950,0.56,0.015,0.006,0,0.017,0,0,0.203,0,0.199
Energex,EX_VSL,Varsity Lakes,VSL,13,10611,27421,0.605,0.011,0.025,0,0.037,0,0.023,0.145,0.153,0
Energex,EX_WCL,Wacol,WCL,17,877,5060,0.621,0.064,0.121,0.005,0,0,0.007,0.132,0.002,0.047
Energex,EX_WED,West End,WED,4,8635,17446,0.633,0.18,0.049,0,0.04,0,0.004,0.094,0,0
Energex,EX_WFD,Woodford,WFD,343,2384,7026,0.064,0,0,0.642,0.001,0,0,0.261,0,0.032
Energex,EX_WHO,Wivenhoe,WHO,358,1440,3984,0.022,0,0,0.383,0,0,0,0.224,0.118,0.254
Energex,EX_WMD,West Maroochydore,WMD,53,10215,22133,0.46,0.046,0.043,0.164,0.004,0,0.001,0.121,0.038,0.123
Energex,EX_WMR,Wamuran,WMR,264,1395,3645,0.041,0,0,0.511,0,0,0,0.265,0,0.182
Energex,EX_WNM,Wynnum,WNM,12,9579,22897,0.761,0.016,0.058,0,0.032,0.008,0,0.124,0,0
Energex,EX_WRD,Wellington Rd,WRD,6,9597,17991,0.61,0.115,0.038,0,0.081,0.021,0.028,0.106,0,0
Energex,EX_WRG,Woodridge,WRG,20,11679,30025,0.504,0.055,0.046,0,0.04,0,0.008,0.222,0,0.127
Energex,EX_WSE,Whiteside,WSE,219,1767,4994,0.075,0,0,0.136,0,0,0,0.132,0.056,0.6
Energex,EX_WSO,Wacol South,WSO,7,2681,7734,0.643,0,0.19,0,0.011,0.004,0.06,0.031,0.006,0.056
Energex,EX_YDA,Yandina,YDA,47,1713,4126,0.206,0.003,0.021,0.292,0.001,0,0,0.156,0.005,0.317
Energex,EX_YMT,Yamanto,YMT,57,2435,6886,0.154,0.009,0.007,0.787,0,0,0,0.029,0,0.014
Energex,EX_YTA,Yatala,YTA,73,6943,21032,0.311,0.005,0.178,0.123,0.012,0,0.001,0.098,0,0.271
Energex,EX_ZMR,Zillmere,ZMR,13,11547,26229,0.729,0.088,0.014,0,0.076,0.001,0,0.092,0,0
Ergon Energy,ER_10030280,Evelyn 66/22kV Substation,10030280,593,587,1176,0.001,0,0,0.487,0,0,0,0.459,0,0.052
Ergon Energy,ER_10030286,Cairns City 132/22kV Substation,10030286,7,2700,5567,0.169,0.268,0.1,0.247,0.019,0.004,0,0.193,0,0
Ergon Energy,ER_10030290,Mareeba 66/22kV Substation,10030290,1906,6516,14995,0.022,0,0,0.712,0,0,0,0.247,0.002,0.017
Ergon Energy,ER_10030291,MT MOLLOY  66/22KV SUBSTATION,10030291,4326,723,1466,0.002,0,0,0.866,0,0,0,0.125,0.003,0.003
Ergon Energy,ER_10030292,Mossman 66/22kV Substation,10030292,1677,3133,6061,0.022,0,0,0.089,0,0,0.001,0.604,0,0.285
Ergon Energy,ER_10030295,Dimbulah 66/22kV Substation,10030295,13083,755,1441,0,0,0,1,0,0,0,0,0,0
Ergon Energy,ER_10030297,Cooktown 66/22kV Substation,10030297,3194,1857,3703,0.025,0,0,0.45,0,0,0,0.18,0.001,0.344
Ergon Energy,ER_10030298,Craiglie 132/22kV Substation,10030298,233,3110,5081,0.103,0.005,0.001,0.033,0,0,0,0.515,0,0.343
Ergon Energy,ER_10030302,Normanton 66/22/6.6kV Substation,10030302,77117,1428,2063,0,0,0,0.957,0,0,0,0.042,0,0
Ergon Energy,ER_10030331,Atherton 66/22kV Substation,10030331,2312,9997,20774,0.026,0.001,0.001,0.654,0,0,0,0.257,0.015,0.046
Ergon Energy,ER_10128809,Ravenshoe 66/22kV Substation,10128809,1003,1364,2711,0.041,0,0,0.485,0,0,0,0.44,0,0.034
Ergon Energy,ER_20001079,Aitkenvale 66/11kV Substation,20001079,7,5002,11348,0.696,0.054,0.024,0,0.073,0.008,0,0.145,0,0
Ergon Energy,ER_20001223,Ayr 66/11kV Substation,20001223,383,970,2243,0.012,0.001,0,0.845,0,0,0,0.141,0,0
Ergon Energy,ER_20002266,Bluewater 66/11kV Substation,20002266,406,1573,3381,0.205,0,0.022,0.249,0,0,0,0.523,0,0
Ergon Energy,ER_20002433,Bowen 66/11kV Substation,20002433,1126,4868,9507,0.016,0.002,0,0.903,0,0,0.001,0.067,0,0.011
Ergon Energy,ER_20002743,Bohle 66/11kV Substation,20002743,64,6124,15964,0.284,0.003,0.189,0.292,0.004,0,0,0.228,0,0
Ergon Energy,ER_20003280,Cranbrook 66/11kV Substation,20003280,6,4335,10673,0.69,0.028,0,0,0.075,0.017,0,0.19,0,0
Ergon Energy,ER_20003434,Cloncurry 66/11kV Substation,20003434,6242,731,1199,0.001,0,0,0.999,0,0,0,0,0,0
Ergon Energy,ER_20004053,Charters Towers 66/11kV Substation,20004053,12962,3009,6521,0.001,0,0,0.986,0,0,0,0.012,0,0
Ergon Energy,ER_20004699,Dan Gleeson 66/11kV Substation,20004699,112,7535,19561,0.141,0.007,0,0.776,0.008,0,0,0.054,0,0.014
Ergon Energy,ER_20004930,North Cloncurry 66/11kV Substation,20004930,19272,819,1470,0,0,0,0.999,0,0,0,0,0,0
Ergon Energy,ER_20005132,Duchess Road 132/11/66kV Substation,20005132,37650,8412,18684,0.002,0,0.001,0.997,0,0,0,0,0,0
Ergon Energy,ER_20005446,East Ayr 66/11kV Substation,20005446,56,3857,7917,0.132,0.011,0.014,0.596,0.005,0.001,0,0.217,0.002,0.022
Ergon Energy,ER_20005825,Garbutt 66/11kV ZS,20005825,16,4108,7843,0.245,0.056,0.251,0,0.011,0,0.297,0.14,0,0
Ergon Energy,ER_20006664,Home Hill 66/11kV Substation,20006664,487,1746,3675,0.007,0,0,0.821,0,0,0,0.11,0.04,0.022
Ergon Energy,ER_20007291,Hermit Park 66/11kV Substation,20007291,10,6462,11932,0.587,0.093,0,0,0.023,0.003,0,0.295,0,0
Ergon Energy,ER_20007579,Hughenden 66/33kV,20007579,31034,894,1493,0,0,0,0.968,0,0,0,0.031,0,0
Ergon Energy,ER_20007838,Ingham 66/11kV Substation,20007838,473,2777,5566,0.016,0,0,0.774,0.001,0,0.006,0.077,0,0.126
Ergon Energy,ER_20009097,Lannercost 66/11kV Substation,20009097,2002,481,1277,0,0,0,0.437,0,0,0,0.563,0,0
Ergon Energy,ER_20009611,Macknade 66/11kV Substation,20009611,435,888,1659,0.006,0,0,0.215,0,0,0,0.556,0.005,0.218
Ergon Energy,ER_20010917,Millchester 66/11kV,20010917,13515,1928,4035,0,0,0,0.998,0,0,0,0,0,0.001
Ergon Energy,ER_20011181,Neil Smith 66/11kV Substation,20011181,2,1792,3028,0.594,0.201,0,0,0,0.005,0,0.2,0,0
Ergon Energy,ER_20011587,Rasmussen 66/11kV Substation,20011587,337,6128,16104,0.054,0,0,0.807,0.001,0,0,0.097,0.041,0
Ergon Energy,ER_20011864,Rollingstone 66/11kV Substation,20011864,299,814,1046,0.03,0,0,0.3,0,0,0,0.65,0,0.02
Ergon Energy,ER_20011942,Ross Plains 66/11kV Substation,20011942,10,3054,8924,0.816,0,0,0,0.056,0,0,0.129,0,0
Ergon Energy,ER_20012177,Saunders 66/11kV Substation,20012177,1258,496,1122,0.007,0,0.008,0.491,0,0,0,0.097,0,0.397
Ergon Energy,ER_20012369,Stuart 66/11kV Substation,20012369,464,2804,7891,0.079,0.006,0.007,0.309,0,0,0,0.426,0.022,0.15
Ergon Energy,ER_20012965,Townsville Port 66/11kV Substation,20012965,6,1212,2442,0.247,0,0.445,0,0,0,0,0.21,0,0.098
Ergon Energy,ER_20013024,Victoria 66/11kV Substation,20013024,123,870,1535,0.036,0,0,0.761,0,0,0,0.173,0,0.03
Ergon Energy,ER_20013229,Winton  (66/11 kV),20013229,42007,788,1029,0,0,0,0.847,0,0,0,0.153,0,0
Ergon Energy,ER_25267697,Peter Arlett 66/11kV Substation,25267697,35,2668,7823,0.114,0.001,0,0,0.083,0.015,0.001,0.786,0,0
Ergon Energy,ER_30064299,Balberra 33/11kV Substation,30064299,215,399,1037,0.002,0,0,0.987,0,0,0,0.011,0,0.001
Ergon Energy,ER_30064303,Laguna Quays 66/11kV Substation,30064303,1379,724,1131,0.009,0,0,0.923,0,0,0,0.054,0.001,0.013
Ergon Energy,ER_30064307,Mirani 66/11kV Substation,30064307,459,785,1964,0.003,0,0,0.739,0,0,0,0.252,0.006,0
Ergon Energy,ER_30064309,Calen 66/11kV Substation,30064309,1422,863,1917,0.002,0,0,0.702,0,0,0,0.267,0,0.029
Ergon Energy,ER_30064310,Mt Bassett 33/11kV Substation,30064310,35,3785,7507,0.161,0.005,0.168,0,0.007,0,0,0.659,0,0
Ergon Energy,ER_30064313,North Mackay 33/11kV Substation,30064313,29,8741,20949,0.493,0.012,0.002,0.17,0.026,0,0,0.297,0,0.001
Ergon Energy,ER_30064314,Pinnacle 66/11kV Substation,30064314,713,857,1731,0.002,0,0,0.482,0,0,0,0.469,0,0.046
Ergon Energy,ER_30064316,Pleystowe 33/11kV Substation,30064316,175,3112,8320,0.061,0,0,0.906,0.001,0,0,0.001,0.001,0.03
Ergon Energy,ER_30064322,Rosella 33/11kV Substation,30064322,94,653,1565,0.01,0,0.006,0.687,0,0,0,0.023,0,0.274
Ergon Energy,ER_30064323,Sarina 33/11kV Substation,30064323,1325,3847,8373,0.011,0,0,0.894,0,0,0,0.06,0,0.036
Ergon Energy,ER_30064324,South Mackay 33/11kV Substation,30064324,20,1054,2592,0.063,0.002,0.322,0.314,0.001,0,0.042,0.002,0,0.254
Ergon Energy,ER_30064325,Tennyson Street 33/11kV Substation,30064325,10,3204,6195,0.34,0.067,0.043,0,0.011,0,0.021,0.481,0,0.037
Ergon Energy,ER_30064327,West Mackay 33/11kV Substation,30064327,46,3784,8215,0.09,0.007,0.019,0.805,0.012,0.005,0,0.056,0,0.006
Ergon Energy,ER_30064336,MCKINLEY CREEK 66/11KV SUBSTATION,30064336,259,1473,2757,0.037,0,0,0.604,0,0,0,0.173,0,0.186
Ergon Energy,ER_30064338,Eton 33/11kV Substation,30064338,1164,926,2273,0.005,0,0,0.843,0,0,0,0.149,0.003,0
Ergon Energy,ER_30064340,Farleigh 33/11kV Substation,30064340,175,1125,2978,0.047,0,0.008,0.811,0,0,0,0.01,0,0.123
Ergon Energy,ER_30184055,Cannonvale 66/11kV Substation,30184055,116,4230,8646,0.155,0.008,0.003,0.145,0.001,0,0,0.603,0,0.086
Ergon Energy,ER_40000002,Rockhampton Glenmore 66/11kV Substation,40000002,41,4878,10188,0.129,0.011,0.028,0.603,0.009,0,0.003,0.124,0.039,0.054
Ergon Energy,ER_40000023,Clermont,40000023,26091,2449,4881,0,0,0,0.978,0,0,0,0.022,0,0
Ergon Energy,ER_40017929,Raglan 66/22kV Substation,40017929,2247,792,1756,0.002,0,0,0.759,0,0,0,0.119,0,0.12
Ergon Energy,ER_40017931,Monto 66/11kV Substation,40017931,2912,1265,2257,0.001,0,0,0.792,0,0,0,0.207,0,0
Ergon Energy,ER_40017933,Theodore 66/22kV Substation,40017933,9534,1175,1986,0.001,0,0,0.802,0,0,0,0.197,0,0
Ergon Energy,ER_40017934,Wowan 66/22kV Substation,40017934,8771,1315,2811,0.001,0,0,0.968,0,0,0,0.028,0.003,0
Ergon Energy,ER_40017939,Parkhurst 66/11kV Substation,40017939,194,3936,10425,0.135,0.002,0.033,0.731,0.001,0,0,0.042,0,0.056
Ergon Energy,ER_40017944,Lakes Creek 66/11kV Substation,40017944,494,2861,6738,0.044,0,0.006,0.746,0,0,0,0.012,0.022,0.17
Ergon Energy,ER_40017948,Yeppoon 66/11kV,40017948,2383,10323,21812,0.015,0,0,0.237,0,0,0,0.66,0.001,0.085
Ergon Energy,ER_40017951,Emerald 66/22kV Substation,40017951,19059,8203,17009,0.007,0,0.005,0.918,0.001,0,0,0.06,0.008,0
Ergon Energy,ER_40017954,Rockhampton South 66/11kV Substation,40017954,91,1302,2547,0.033,0.007,0.001,0.893,0.001,0,0.028,0.033,0.003,0
Ergon Energy,ER_40017970,Canning Street 66/11kV Substation,40017970,11,5262,11660,0.529,0.022,0.003,0.005,0.03,0.012,0.136,0.21,0.053,0
Ergon Energy,ER_40017971,Bedford Weir 66/22kV Substation,40017971,1251,1225,2446,0.002,0,0,0.996,0,0,0,0.001,0,0
Ergon Energy,ER_40017973,Boyne Residential 66/11kV Substation,40017973,320,4483,10419,0.125,0.001,0.154,0.385,0.002,0,0,0.217,0,0.116
Ergon Energy,ER_40017974,Calliope 66/11kV Substation,40017974,2448,2807,7160,0.006,0,0,0.826,0,0,0,0.152,0.012,0.004
Ergon Energy,ER_40017975,Clinton 66/11kV Substation,40017975,124,4154,9664,0.06,0.002,0.249,0.087,0.003,0,0.015,0.349,0,0.235
Ergon Energy,ER_40017976,Frenchville 66/11kV Substation,40017976,43,7642,18653,0.379,0.007,0,0.095,0.009,0.001,0,0.432,0,0.077
Ergon Energy,ER_40017977,Longreach 66/22kV Substation,40017977,57421,2433,3726,0,0,0,0.968,0,0,0,0.032,0,0
Ergon Energy,ER_40017979,Middlemount 66/22kV Substation,40017979,3661,984,1993,0.001,0,0,0.999,0,0,0,0,0,0
Ergon Energy,ER_40017984,Tieri 66/22kV Substation,40017984,744,539,1189,0.002,0,0,0.997,0,0,0,0,0,0
Ergon Energy,ER_40017986,Pandoin 66/22kV Substation,40017986,12845,1574,2965,0.001,0,0,0.803,0,0,0,0.176,0.002,0.017
Ergon Energy,ER_40017988,Malchi 66/11kV Substation,40017988,1613,5233,13027,0.017,0,0.001,0.912,0,0,0,0.064,0.001,0.006
Ergon Energy,ER_40017991,Awoonga 66/11kV Substation,40017991,121,444,1149,0.038,0,0,0.813,0,0,0,0.076,0,0.073
Ergon Energy,ER_40018016,Miriam Vale 66/22kV Substation,40018016,2236,1551,2489,0.098,0,0,0.714,0,0,0,0.162,0,0.025
Ergon Energy,ER_40018027,Blackall 66/22kV Substation,40018027,30448,1013,1880,0,0,0,0.968,0,0,0,0.032,0,0
Ergon Energy,ER_40018029,Tanby 66/22kV Substation,40018029,321,3511,7197,0.034,0,0,0.691,0,0,0,0.019,0.002,0.253
Ergon Energy,ER_50000014,Bullyard 66/11kV Substation,50000014,276,674,1486,0.021,0,0,0.961,0,0,0,0.009,0,0.009
Ergon Energy,ER_50000019,Childers 66/11kV Substation,50000019,904,2011,4172,0.013,0,0,0.496,0,0,0,0.355,0,0.135
Ergon Energy,ER_50000024,Degilbo 66/11kV Substation,50000024,2225,988,1893,0.001,0,0,0.763,0,0,0,0.236,0,0
Ergon Energy,ER_50000029,East Bundaberg 66/11kV Substation,50000029,90,8152,17628,0.204,0,0.007,0.672,0.004,0,0,0.092,0.01,0.01
Ergon Energy,ER_50000045,Farnsfield 66/11kV Substation,50000045,378,454,1052,0.016,0,0.005,0.649,0,0,0,0.33,0,0.001
Ergon Energy,ER_50000051,Gooburrum 66/11kV Substation,50000051,902,1380,2546,0.015,0,0,0.717,0,0,0,0.149,0.002,0.117
Ergon Energy,ER_50000056,Gootchie 66/11kV Substation,50000056,1393,1809,3516,0.021,0,0,0.692,0,0,0,0.285,0,0.001
Ergon Energy,ER_50000064,Gayndah 66/11kV Substation,50000064,2892,1453,2854,0.002,0,0,0.966,0,0,0,0.031,0,0
Ergon Energy,ER_50000071,Howard 66/11kV Substation,50000071,604,4588,9114,0.048,0,0,0.381,0,0,0,0.327,0.007,0.236
Ergon Energy,ER_50000087,Kingaroy 66/11kV Substation,50000087,2015,6629,14804,0.026,0,0.001,0.906,0,0,0,0.065,0.001,0.001
Ergon Energy,ER_50000105,Maryborough City 66/11kV Substation,50000105,316,5007,11320,0.128,0.003,0.001,0.459,0.001,0,0,0.363,0,0.045
Ergon Energy,ER_50000121,Murgon 66/11kV Substation,50000121,3393,3918,8863,0.013,0,0.001,0.871,0,0,0,0.113,0,0.003
Ergon Energy,ER_50000136,Meadowvale 66/11kV Substation,50000136,236,3461,7572,0.058,0,0.001,0.908,0.002,0,0,0.018,0.002,0.011
Ergon Energy,ER_50000141,Nanango 66/11kV Substation,50000141,937,3100,6474,0.063,0.001,0.01,0.8,0,0,0,0.109,0.003,0.014
Ergon Energy,ER_50000147,Owanyilla 66/11kV Substation,50000147,1137,1524,3424,0.02,0.001,0,0.516,0,0,0,0.425,0,0.039
Ergon Energy,ER_50000152,Pialba 66/11kV Substation,50000152,236,4776,11976,0.142,0.002,0.003,0.508,0.003,0.001,0,0.053,0,0.289
Ergon Energy,ER_50000158,Proston 66/11kV Substation,50000158,2391,717,1344,0.006,0,0,0.901,0,0,0,0.084,0.001,0.008
Ergon Energy,ER_50000162,Rocky Street 66/11kV Substation,50000162,356,7645,17190,0.159,0.011,0.01,0.117,0.001,0.001,0,0.389,0,0.312
Ergon Energy,ER_50000172,South Bundaberg 66/11kV Substation,50000172,371,6160,13872,0.058,0.009,0.011,0.602,0.002,0,0,0.269,0,0.05
Ergon Energy,ER_50000181,South Kolan 66/11kV Substation,50000181,281,1448,3640,0.063,0,0,0.875,0,0,0,0.056,0.002,0.003
